Sound,Article,Onset,DP
bacon.wav,431,584,885
baker.wav,435,600,919
beaker.wav,338,571,793
beetle.wav,435,665,962
butter.wav,399,536,718
button.wav,383,533,725
camel.wav,337,458,666
camper.wav,462,490,738
candle.wav,471,610,946
candy.wav,495,643,988
carton.wav,422,552,992
cartoon.wav,389,549,863
catalogue.wav,448,582,853
caterpillar.wav,393,504,771
circle.wav,429,512,980
circus.wav,402,490,861
kitchen.wav,445,573,985
kitten.wav,501,573,980
letter.wav,419,617,885
lettuce.wav,414,562,821
lolly.wav,406,574,713
lorry.wav,367,571,741
medal.wav,384,501,725
metal.wav,394,493,826
money.wav,468,518,724
monkey.wav,453,575,865
package.wav,491,624,966
packet.wav,444,718,916
paddle.wav,449,641,881
padlock.wav,441,608,869
pasta.wav,431,600,1003
pasty.wav,396,561,965
pencil.wav,395,569,810
penny.wav,369,545,774
robber.wav,388,535,800
robin.wav,387,535,782
sandal.wav,405,516,872
sandwich.wav,412,588,918
Talien.wav,489,771,1138
Tangel.wav,498,674,1036
Tapricot.wav,498,672,1185
Tathlete.wav,541,719,1109
Tbaboon.wav,535,736,1128
Tbadminton.wav,426,587,992
Tbalcony.wav,483,593,1012
Tbikini.wav,518,660,1038
Tbiscuit.wav,451,597,861
Tblossom.wav,532,714,1062
Tbracelet.wav,468,641,1164
Tbramble.wav,433,594,938
Tbreakfast.wav,433,552,1066
Tbroccoli.wav,416,605,836
Tbuffalo.wav,562,749,1113
Tcactus.wav,436,566,1030
Tcaramel.wav,452,591,990
Tcaravan.wav,492,620,1028
Tcardigan.wav,491,621,1113
Tchimpanzee.wav,499,614,1185
Tchocolate.wav,443,627,1005
Tclarinet.wav,429,555,1012
Tcostume.wav,458,597,1179
Tcrocodile.wav,443,577,974
Tdaffodil.wav,432,632,1022
Tdinosaur.wav,411,596,1087
Tdolphin.wav,509,681,1100
Tdonkey.wav,471,608,903
Tdungeon.wav,494,659,958
Tflamingo.wav,526,598,1150
Tfountain.wav,429,564,1125
Tgadget.wav,509,683,992
Tgraffiti.wav,450,594,983
Tguitar.wav,478,628,934
Tkangaroo.wav,541,613,930
Tlantern.wav,425,527,1009
Tmayonnaise.wav,431,596,890
Tmermaid.wav,499,686,977
Tmushroom.wav,523,675,1062
Tnapkin.wav,552,707,1069
Tnugget.wav,508,623,927
Toctopus.wav,460,604,1093
Tonion.wav,480,663,845
Tornament.wav,399,592,927
Tparachute.wav,434,585,1046
Tparade.wav,593,793,1010
Tparsnip.wav,407,558,1130
Tpelican.wav,534,698,1171
Tpenguin.wav,500,654,1007
Tpicnic.wav,418,586,939
Tpotato.wav,505,680,1243
Tpumpkin.wav,580,689,1079
Tpyramid.wav,552,711,1101
Treptile.wav,396,529,1007
Trugby.wav,429,580,937
Tsergeant.wav,494,580,1186
Tsignature.wav,431,522,1188
Tsiren.wav,432,562,1063
Tskeleton.wav,410,530,836
Tsomersault.wav,482,614,1094
Tspider.wav,503,620,1144
Tsquirrel.wav,490,615,1010
Ttarget.wav,538,693,1081
Ttattoo.wav,606,772,1141
Ttissue.wav,507,690,970
Ttornado.wav,457,620,1266
Ttrombone.wav,487,604,1050
Ttulip.wav,443,604,891
Tvolcano.wav,374,489,779
Twalnut.wav,400,538,824
Twalrus.wav,574,718,1068
Tyoghurt.wav,435,598,806
window.wav,408,567,843
winner.wav,359,571,724
